Categoria,Instância,Região,SO,Tenancy,vCPU,RAM_GiB,GPU,Preço_USD,Indice_custo_beneficio,Cluster,PCA1,PCA2
Uso Geral,t3.nano,US East (N. Virginia),Linux,Shared,2,0.5,0,0.0052,480.7692307692308,2,-0.5624805932895772,0.9797764846964303
Uso Geral,t3.nano,US East (N. Virginia),Linux,Dedicated,2,0.5,0,0.0052,480.7692307692308,2,-0.5585774391520089,0.9359797367696541
Uso Geral,t3.nano,US East (N. Virginia),Windows,Shared,2,0.5,0,0.0052,480.7692307692308,2,-0.5816833716838007,0.9724541022186581
Uso Geral,t3.nano,US East (N. Virginia),Windows,Dedicated,2,0.5,0,0.0098,255.10204081632654,2,-0.6289680534158764,0.4291180585412853
Uso Geral,t3.nano,US East (N. Virginia),SUSE,Shared,2,0.5,0,0.0052,480.7692307692308,2,-0.5560895426537283,1.0121079670312894
Uso Geral,t3.nano,US East (N. Virginia),SUSE,Dedicated,2,0.5,0,0.0052,480.7692307692308,2,-0.55218638851616,0.9683112191045129
Uso Geral,t3.nano,US West (Oregon),Linux,Shared,2,0.5,0,0.0052,480.7692307692308,2,-0.5627497193212204,0.9234556842158645
Uso Geral,t3.nano,US West (Oregon),Linux,Dedicated,2,0.5,0,0.0052,480.7692307692308,2,-0.558846565183652,0.8796589362890883
Uso Geral,t3.nano,US West (Oregon),Windows,Shared,2,0.5,0,0.0052,480.7692307692308,2,-0.5819524977154439,0.9161333017380926
Uso Geral,t3.nano,US West (Oregon),Windows,Dedicated,2,0.5,0,0.0098,255.10204081632654,2,-0.6292371794475196,0.37279725806071956
Uso Geral,t3.nano,US West (Oregon),SUSE,Shared,2,0.5,0,0.0052,480.7692307692308,2,-0.5563586686853715,0.9557871665507236
Uso Geral,t3.nano,US West (Oregon),SUSE,Dedicated,2,0.5,0,0.0052,480.7692307692308,2,-0.5524555145478032,0.9119904186239474
Uso Geral,t3.nano,South America (Sao Paulo),Linux,Shared,2,0.5,0,0.0084,297.61904761904765,2,-0.5888423672066497,0.4967089693378945
Uso Geral,t3.nano,South America (Sao Paulo),Linux,Dedicated,2,0.5,0,0.0084,297.61904761904765,2,-0.5849392130690814,0.4529122214111181
Uso Geral,t3.nano,South America (Sao Paulo),Windows,Shared,2,0.5,0,0.013,192.30769230769232,2,-0.6317346362370878,0.2561662820079898
Uso Geral,t3.nano,South America (Sao Paulo),Windows,Dedicated,2,0.5,0,0.013,192.30769230769232,2,-0.6278314820995194,0.2123695340812135
Uso Geral,t3.nano,South America (Sao Paulo),SUSE,Shared,2,0.5,0,0.0084,297.61904761904765,2,-0.5824513165708008,0.5290404516727536
Uso Geral,t3.nano,South America (Sao Paulo),SUSE,Dedicated,2,0.5,0,0.0084,297.61904761904765,2,-0.5785481624332325,0.4852437037459771
Uso Geral,t3.nano,Asia Pacific (Tokyo),Linux,Shared,2,0.5,0,0.0068,367.64705882352945,2,-0.5833035213412637,0.6762856847256027
Uso Geral,t3.nano,Asia Pacific (Tokyo),Linux,Dedicated,2,0.5,0,0.0068,367.64705882352945,2,-0.5794003672036954,0.6324889367988262
Uso Geral,t3.nano,Asia Pacific (Tokyo),Windows,Shared,2,0.5,0,0.0114,219.29824561403507,2,-0.6360287899830366,0.34051128393200564
Uso Geral,t3.nano,Asia Pacific (Tokyo),Windows,Dedicated,2,0.5,0,0.0114,219.29824561403507,2,-0.6321256358454682,0.2967145360052293
Uso Geral,t3.nano,Asia Pacific (Tokyo),SUSE,Shared,2,0.5,0,0.0068,367.64705882352945,2,-0.5769124707054148,0.7086171670604617
Uso Geral,t3.nano,Asia Pacific (Tokyo),SUSE,Dedicated,2,0.5,0,0.0068,367.64705882352945,2,-0.5730093165678465,0.6648204191336853
Uso Geral,t3.micro,US East (N. Virginia),Linux,Shared,2,1.0,0,0.0104,288.46153846153845,2,-0.6049237785480429,0.5540827227412037
Uso Geral,t3.micro,US East (N. Virginia),Linux,Dedicated,2,1.0,0,0.011,272.72727272727275,2,-0.6045670522404173,0.4754448292733446
Uso Geral,t3.micro,US East (N. Virginia),Windows,Shared,2,1.0,0,0.0196,153.06122448979593,2,-0.6543190724438027,0.24676909987070672
Uso Geral,t3.micro,US East (N. Virginia),Windows,Dedicated,2,1.0,0,0.0202,148.5148514851485,2,-0.6514061880767867,0.19288736642538487
Uso Geral,t3.micro,US East (N. Virginia),RHEL,Shared,2,1.0,0,0.0392,76.53061224489797,2,-0.6439380670934205,0.06192257526787123
Uso Geral,t3.micro,US East (N. Virginia),RHEL,Dedicated,2,1.0,0,0.0398,75.37688442211055,2,-0.6402500468242429,0.015547963051864344
Uso Geral,t3.micro,US East (N. Virginia),SUSE,Shared,2,1.0,0,0.0104,288.46153846153845,2,-0.598532727912194,0.5864142050760628
Uso Geral,t3.micro,US East (N. Virginia),SUSE,Dedicated,2,1.0,0,0.011,272.72727272727275,2,-0.5981760016045684,0.5077763116082037
Uso Geral,t3.micro,US West (Oregon),Linux,Shared,2,1.0,0,0.0104,288.46153846153845,2,-0.6051929045796861,0.4977619222606378
Uso Geral,t3.micro,US West (Oregon),Linux,Dedicated,2,1.0,0,0.011,272.72727272727275,2,-0.6048361782720605,0.4191240287927788
Uso Geral,t3.micro,US West (Oregon),Windows,Shared,2,1.0,0,0.0196,153.06122448979593,2,-0.6545881984754459,0.19044829939014093
Uso Geral,t3.micro,US West (Oregon),Windows,Dedicated,2,1.0,0,0.0202,148.5148514851485,2,-0.6516753141084299,0.13656656594481908
Uso Geral,t3.micro,US West (Oregon),RHEL,Shared,2,1.0,0,0.0392,76.53061224489797,2,-0.6442071931250637,0.005601774787305475
Uso Geral,t3.micro,US West (Oregon),RHEL,Dedicated,2,1.0,0,0.0398,75.37688442211055,2,-0.6405191728558861,-0.04077283742870142
Uso Geral,t3.micro,US West (Oregon),SUSE,Shared,2,1.0,0,0.0104,288.46153846153845,2,-0.5988018539438372,0.5300934045954968
Uso Geral,t3.micro,US West (Oregon),SUSE,Dedicated,2,1.0,0,0.011,272.72727272727275,2,-0.5984451276362116,0.4514555111276378
Uso Geral,t3.micro,South America (Sao Paulo),Linux,Shared,2,1.0,0,0.0168,178.57142857142858,2,-0.6142889517539596,0.23298941901409703
Uso Geral,t3.micro,South America (Sao Paulo),Linux,Dedicated,2,1.0,0,0.0177,169.4915254237288,2,-0.6123876351478181,0.16906358703546207
Uso Geral,t3.micro,South America (Sao Paulo),Windows,Shared,2,1.0,0,0.0168,178.57142857142858,2,-0.633491730148183,0.22566703653632497
Uso Geral,t3.micro,South America (Sao Paulo),Windows,Dedicated,2,1.0,0,0.0269,111.52416356877323,2,-0.6440914057693423,0.03309076979727278
Uso Geral,t3.micro,South America (Sao Paulo),RHEL,Shared,2,1.0,0,0.0456,65.78947368421052,2,-0.6306501412512033,-0.03977750941244582
Uso Geral,t3.micro,South America (Sao Paulo),RHEL,Dedicated,2,1.0,0,0.0465,64.51612903225806,2,-0.6269652182146769,-0.08642927414565665
Uso Geral,t3.micro,South America (Sao Paulo),SUSE,Shared,2,1.0,0,0.0168,178.57142857142858,2,-0.6078979011181107,0.26532090134895603
Uso Geral,t3.micro,South America (Sao Paulo),SUSE,Dedicated,2,1.0,0,0.0177,169.4915254237288,2,-0.6059965845119692,0.20139506937032106
Uso Geral,t3.micro,Asia Pacific (Tokyo),Linux,Shared,2,1.0,0,0.0136,220.58823529411765,2,-0.6152792152811438,0.3506504652744715
Uso Geral,t3.micro,Asia Pacific (Tokyo),Linux,Dedicated,2,1.0,0,0.0145,206.8965517241379,2,-0.6144315769662986,0.2765198541759476
Uso Geral,t3.micro,Asia Pacific (Tokyo),Windows,Shared,2,1.0,0,0.0228,131.57894736842104,2,-0.6540753018036468,0.14598920886483768
Uso Geral,t3.micro,Asia Pacific (Tokyo),Windows,Dedicated,2,1.0,0,0.0237,126.58227848101266,2,-0.6512410666922009,0.09109860838155592
Uso Geral,t3.micro,Asia Pacific (Tokyo),RHEL,Shared,2,1.0,0,0.0424,70.75471698113208,2,-0.6401057748666303,-0.004102808161010253
Uso Geral,t3.micro,Asia Pacific (Tokyo),RHEL,Dedicated,2,1.0,0,0.0432,69.44444444444444,2,-0.6364373663653308,-0.05083212931067591
Uso Geral,t3.micro,Asia Pacific (Tokyo),SUSE,Shared,2,1.0,0,0.0136,220.58823529411765,2,-0.6088881646452949,0.3829819476093305
Uso Geral,t3.micro,Asia Pacific (Tokyo),SUSE,Dedicated,2,1.0,0,0.0144,208.33333333333334,2,-0.6077203345268557,0.31203475058631
Uso Geral,t3a.small,US East (N. Virginia),Linux,Shared,2,2.0,0,0.0188,212.7659574468085,2,-0.6193911275431643,0.38634477181424676
Uso Geral,t3a.small,US East (N. Virginia),Windows,Shared,2,2.0,0,0.0372,107.52688172043011,2,-0.661152198138744,0.14538845865963623
Uso Geral,t3a.small,US East (N. Virginia),RHEL,Shared,2,2.0,0,0.0476,84.03361344537815,2,-0.6393965882780794,0.07828340547377821
Uso Geral,t3a.small,US East (N. Virginia),SUSE,Shared,2,2.0,0,0.0498,80.32128514056225,2,-0.6407564229087176,0.12431908558330806
Uso Geral,t3a.small,US West (Oregon),Linux,Shared,2,2.0,0,0.0188,212.7659574468085,2,-0.6196602535748075,0.330023971333681
Uso Geral,t3a.small,US West (Oregon),Windows,Shared,2,2.0,0,0.0372,107.52688172043011,2,-0.6614213241703872,0.08906765817907042
Uso Geral,t3a.small,US West (Oregon),RHEL,Shared,2,2.0,0,0.0476,84.03361344537815,2,-0.6396657143097226,0.021962604993212453
Uso Geral,t3a.small,US West (Oregon),SUSE,Shared,2,2.0,0,0.0498,80.32128514056225,2,-0.6410255489403608,0.0679982851027423
Uso Geral,t3a.small,South America (Sao Paulo),Linux,Shared,2,2.0,0,0.0302,132.4503311258278,2,-0.6215953881997277,0.13048499129466676
Uso Geral,t3a.small,South America (Sao Paulo),Windows,Shared,2,2.0,0,0.0486,82.3045267489712,2,-0.6507690026065807,0.011437054869760162
Uso Geral,t3a.small,South America (Sao Paulo),RHEL,Shared,2,2.0,0,0.059,67.79661016949153,2,-0.6269604610895115,-0.03578554057269464
Uso Geral,t3a.small,South America (Sao Paulo),SUSE,Shared,2,2.0,0,0.0612,65.35947712418302,2,-0.6280289449967685,0.013071844988190792
Uso Geral,t3a.small,Asia Pacific (Tokyo),Linux,Shared,2,2.0,0,0.0245,163.26530612244898,2,-0.6253469300707006,0.22346294025247182
Uso Geral,t3a.small,Asia Pacific (Tokyo),Windows,Shared,2,2.0,0,0.0429,93.24009324009324,2,-0.6590624999195034,0.06042657544259686
Uso Geral,t3a.small,Asia Pacific (Tokyo),RHEL,Shared,2,2.0,0,0.0533,75.046904315197,2,-0.636095952407422,0.005049344081240428
Uso Geral,t3a.small,Asia Pacific (Tokyo),SUSE,Shared,2,2.0,0,0.0555,72.07207207207207,2,-0.6372872873440231,0.05271692851452897
Uso Geral,t3.medium,US East (N. Virginia),Linux,Shared,2,4.0,0,0.0416,144.23076923076923,2,-0.6289106299477611,0.23396016433473094
Uso Geral,t3.medium,US East (N. Virginia),Linux,Dedicated,2,4.0,0,0.0441,136.05442176870747,2,-0.6266736343488574,0.17196718723497387
Uso Geral,t3.medium,US East (N. Virginia),Windows,Shared,2,4.0,0,0.0416,144.23076923076923,2,-0.6481134083419846,0.22663778185695888
Uso Geral,t3.medium,US East (N. Virginia),Windows,Dedicated,2,4.0,0,0.0625,96.0,2,-0.6535416162646227,0.07524909332228732
Uso Geral,t3.medium,US East (N. Virginia),RHEL,Shared,2,4.0,0,0.0704,85.22727272727272,2,-0.632984765650218,0.08019224257440491
Uso Geral,t3.medium,US East (N. Virginia),RHEL,Dedicated,2,4.0,0,0.0729,82.30452674897118,2,-0.6295474514481526,0.029824242775538023
Uso Geral,t3.medium,US East (N. Virginia),SUSE,Shared,2,4.0,0,0.0979,61.28702757916241,2,-0.6369225933615367,0.08041679480207087
Uso Geral,t3.medium,US East (N. Virginia),SUSE,Dedicated,2,4.0,0,0.1004,59.7609561752988,2,-0.633166173403269,0.03313930544156904
Uso Geral,t3.medium,US West (Oregon),Linux,Shared,2,4.0,0,0.0416,144.23076923076923,2,-0.6291797559794043,0.17763936385416515
Uso Geral,t3.medium,US West (Oregon),Linux,Dedicated,2,4.0,0,0.0441,136.05442176870747,2,-0.6269427603805006,0.11564638675440811
Uso Geral,t3.medium,US West (Oregon),Windows,Shared,2,4.0,0,0.06,100.0,2,-0.6570019304747697,0.07168000095730187
Uso Geral,t3.medium,US West (Oregon),Windows,Dedicated,2,4.0,0,0.0625,96.0,2,-0.6538107422962659,0.018928292841721553
Uso Geral,t3.medium,US West (Oregon),RHEL,Shared,2,4.0,0,0.0704,85.22727272727272,2,-0.6332538916818612,0.02387144209383915
Uso Geral,t3.medium,US West (Oregon),RHEL,Dedicated,2,4.0,0,0.0729,82.30452674897118,2,-0.6298165774797958,-0.02649655770502774
Uso Geral,t3.medium,US West (Oregon),SUSE,Shared,2,4.0,0,0.0979,61.28702757916241,2,-0.6371917193931799,0.024095994321505082
Uso Geral,t3.medium,US West (Oregon),SUSE,Dedicated,2,4.0,0,0.1004,59.7609561752988,2,-0.6334352994349122,-0.023181495038996733
Uso Geral,t3.medium,South America (Sao Paulo),Linux,Shared,2,4.0,0,0.0672,89.28571428571429,2,-0.6241713456109628,0.033649268177195435
Uso Geral,t3.medium,South America (Sao Paulo),Linux,Dedicated,2,4.0,0,0.0709,84.62623413258109,2,-0.6210339033399302,-0.020611588594239155
Uso Geral,t3.medium,South America (Sao Paulo),Windows,Shared,2,4.0,0,0.0856,70.09345794392523,2,-0.6462728363222522,-0.01690578876266027
Uso Geral,t3.medium,South America (Sao Paulo),Windows,Dedicated,2,4.0,0,0.0893,67.18924972004478,2,-0.6427343576275774,-0.06728264397868033
Uso Geral,t3.medium,South America (Sao Paulo),RHEL,Shared,2,4.0,0,0.096,62.5,2,-0.6208845112306766,-0.048828322916733426
Uso Geral,t3.medium,South America (Sao Paulo),RHEL,Dedicated,2,4.0,0,0.0997,60.18054162487463,2,-0.6172124315912353,-0.09791126504484801
Uso Geral,t3.medium,South America (Sao Paulo),SUSE,Shared,2,4.0,0,0.1235,48.582995951417004,2,-0.622532275108085,-0.02642470921599279
Uso Geral,t3.medium,South America (Sao Paulo),SUSE,Dedicated,2,4.0,0,0.1272,47.16981132075471,2,-0.6186531342291495,-0.07350228193412403
Uso Geral,t3.medium,Asia Pacific (Tokyo),Linux,Shared,2,4.0,0,0.0544,110.29411764705883,2,-0.6307369446872487,0.10522268816907024
Uso Geral,t3.medium,Asia Pacific (Tokyo),Linux,Dedicated,2,4.0,0,0.0579,103.62694300518135,2,-0.6280743660257827,0.046527590944438466
Uso Geral,t3.medium,Asia Pacific (Tokyo),Windows,Shared,2,4.0,0,0.0544,110.29411764705883,2,-0.6499397230814722,0.09790030569129818
Uso Geral,t3.medium,Asia Pacific (Tokyo),Windows,Dedicated,2,4.0,0,0.0763,78.63695937090432,2,-0.6515004946919575,-0.01685646499358338
Uso Geral,t3.medium,Asia Pacific (Tokyo),RHEL,Shared,2,4.0,0,0.0832,72.11538461538461,2,-0.6300531346111884,-0.0024649582973123377
Uso Geral,t3.medium,Asia Pacific (Tokyo),RHEL,Dedicated,2,4.0,0,0.0865,69.36416184971098,2,-0.6265120121962872,-0.05248666785681378
Uso Geral,t3.medium,Asia Pacific (Tokyo),SUSE,Shared,2,4.0,0,0.1107,54.200542005420054,2,-0.6326143061790158,0.011092384388707147
Uso Geral,t3.medium,Asia Pacific (Tokyo),SUSE,Dedicated,2,4.0,0,0.114,52.63157894736842,2,-0.6288030665264036,-0.03631326411109138
Uso Geral,m5.large,US East (N. Virginia),Linux,Shared,2,8.0,0,0.096,104.16666666666667,2,-0.6250752761333546,0.14347713520855132
Uso Geral,m5.large,US East (N. Virginia),Linux,Dedicated,2,8.0,0,0.102,98.03921568627452,2,-0.6220874483355681,0.08587241234898588
Uso Geral,m5.large,US East (N. Virginia),Windows,Shared,2,8.0,0,0.096,104.16666666666667,2,-0.644278054527578,0.1361547527307793
